NOTE! Installing ujson may make loading annotations faster.
Using device: cuda:1
Loading COCO dataset...
Loading annotations into memory...
Done (t=8.82s)
Creating index...
index created!
Loading annotations into memory...
Done (t=0.37s)
Creating index...
index created!
Train samples: 117266, Val samples: 4952
Number of classes in mapping: 80

--- Baseline ResNet101 ---
Epoch 0, Batch 0/3665: Loss=4.5562
Epoch 0, Batch 150/3665: Loss=3.6300
Epoch 0, Batch 300/3665: Loss=2.9932
Epoch 0, Batch 450/3665: Loss=3.3769
Epoch 0, Batch 600/3665: Loss=3.2953
Epoch 0, Batch 750/3665: Loss=3.1659
Epoch 0, Batch 900/3665: Loss=3.1565
Epoch 0, Batch 1050/3665: Loss=3.6815
Epoch 0, Batch 1200/3665: Loss=3.2516
Epoch 0, Batch 1350/3665: Loss=3.4757
Epoch 0, Batch 1500/3665: Loss=3.6769
Epoch 0, Batch 1650/3665: Loss=3.1813
Epoch 0, Batch 1800/3665: Loss=3.5128
Epoch 0, Batch 1950/3665: Loss=3.6283
Epoch 0, Batch 2100/3665: Loss=3.4171
Epoch 0, Batch 2250/3665: Loss=2.9613
Epoch 0, Batch 2400/3665: Loss=2.4896
Epoch 0, Batch 2550/3665: Loss=3.1448
Epoch 0, Batch 2700/3665: Loss=3.3258
Epoch 0, Batch 2850/3665: Loss=3.2076
Epoch 0, Batch 3000/3665: Loss=3.2988
Epoch 0, Batch 3150/3665: Loss=3.0405
Epoch 0, Batch 3300/3665: Loss=2.7113
Epoch 0, Batch 3450/3665: Loss=3.1887
Epoch 0, Batch 3600/3665: Loss=3.0594
Epoch 0 | Train Loss: 3.2608 | Val Accuracy: 22.50%
Epoch 1, Batch 0/3665: Loss=2.9819
Epoch 1, Batch 150/3665: Loss=3.0674
Epoch 1, Batch 300/3665: Loss=2.7693
Epoch 1, Batch 450/3665: Loss=3.1448
Epoch 1, Batch 600/3665: Loss=2.4802
Epoch 1, Batch 750/3665: Loss=3.1779
Epoch 1, Batch 900/3665: Loss=3.1625
Epoch 1, Batch 1050/3665: Loss=3.1148
Epoch 1, Batch 1200/3665: Loss=2.4268
Epoch 1, Batch 1350/3665: Loss=3.0045
Epoch 1, Batch 1500/3665: Loss=2.4963
Epoch 1, Batch 1650/3665: Loss=2.9253
Epoch 1, Batch 1800/3665: Loss=3.0868
Epoch 1, Batch 1950/3665: Loss=2.5125
Epoch 1, Batch 2100/3665: Loss=2.6180
Epoch 1, Batch 2250/3665: Loss=2.8716
Epoch 1, Batch 2400/3665: Loss=2.9220
Epoch 1, Batch 2550/3665: Loss=2.6068
Epoch 1, Batch 2700/3665: Loss=2.9857
Epoch 1, Batch 2850/3665: Loss=3.0546
Epoch 1, Batch 3000/3665: Loss=3.4501
Epoch 1, Batch 3150/3665: Loss=2.8158
Epoch 1, Batch 3300/3665: Loss=2.5466
Epoch 1, Batch 3450/3665: Loss=2.5538
Epoch 1, Batch 3600/3665: Loss=2.9200
Epoch 1 | Train Loss: 2.9070 | Val Accuracy: 28.66%
Epoch 2, Batch 0/3665: Loss=2.7754
Epoch 2, Batch 150/3665: Loss=2.5229
Epoch 2, Batch 300/3665: Loss=2.4079
Epoch 2, Batch 450/3665: Loss=3.1280
Epoch 2, Batch 600/3665: Loss=2.3808
Epoch 2, Batch 750/3665: Loss=3.3570
Epoch 2, Batch 900/3665: Loss=3.1075
Epoch 2, Batch 1050/3665: Loss=2.3417
Epoch 2, Batch 1200/3665: Loss=2.5370
Epoch 2, Batch 1350/3665: Loss=3.3743
Epoch 2, Batch 1500/3665: Loss=2.9720
Epoch 2, Batch 1650/3665: Loss=2.7758
Epoch 2, Batch 1800/3665: Loss=2.7942
Epoch 2, Batch 1950/3665: Loss=2.7376
Epoch 2, Batch 2100/3665: Loss=2.9444
Epoch 2, Batch 2250/3665: Loss=2.8399
Epoch 2, Batch 2400/3665: Loss=2.4012
Epoch 2, Batch 2550/3665: Loss=2.5858
Epoch 2, Batch 2700/3665: Loss=3.1147
Epoch 2, Batch 2850/3665: Loss=2.6771
Epoch 2, Batch 3000/3665: Loss=2.6183
Epoch 2, Batch 3150/3665: Loss=2.6392
Epoch 2, Batch 3300/3665: Loss=2.5627
Epoch 2, Batch 3450/3665: Loss=2.3650
Epoch 2, Batch 3600/3665: Loss=2.3094
Epoch 2 | Train Loss: 2.7210 | Val Accuracy: 31.02%
Epoch 3, Batch 0/3665: Loss=2.4986
Epoch 3, Batch 150/3665: Loss=2.4137
Epoch 3, Batch 300/3665: Loss=2.6820
Epoch 3, Batch 450/3665: Loss=2.5056
Epoch 3, Batch 600/3665: Loss=2.4233
Epoch 3, Batch 750/3665: Loss=2.8361
Epoch 3, Batch 900/3665: Loss=2.4532
Epoch 3, Batch 1050/3665: Loss=2.5988
Epoch 3, Batch 1200/3665: Loss=2.1802
Epoch 3, Batch 1350/3665: Loss=2.3106
Epoch 3, Batch 1500/3665: Loss=2.8313
Epoch 3, Batch 1650/3665: Loss=2.9692
Epoch 3, Batch 1800/3665: Loss=1.8979
Epoch 3, Batch 1950/3665: Loss=2.5744
