NOTE! Installing ujson may make loading annotations faster.
Using device: cuda:0
Loading COCO dataset...
Loading annotations into memory...
Done (t=8.83s)
Creating index...
index created!
Loading annotations into memory...
Done (t=0.37s)
Creating index...
index created!
Train samples: 117266, Val samples: 4952
Number of classes in mapping: 80

--- Baseline ResNet18 ---
Epoch 0, Batch 0/1833: Loss=4.4463
Epoch 0, Batch 150/1833: Loss=3.1400
Epoch 0, Batch 300/1833: Loss=3.0607
Epoch 0, Batch 450/1833: Loss=3.0436
Epoch 0, Batch 600/1833: Loss=3.2062
Epoch 0, Batch 750/1833: Loss=3.0092
Epoch 0, Batch 900/1833: Loss=3.1243
Epoch 0, Batch 1050/1833: Loss=2.4131
Epoch 0, Batch 1200/1833: Loss=2.5349
Epoch 0, Batch 1350/1833: Loss=3.1030
Epoch 0, Batch 1500/1833: Loss=3.1984
Epoch 0, Batch 1650/1833: Loss=2.9078
Epoch 0, Batch 1800/1833: Loss=3.0695
Epoch 0 | Train Loss: 3.0045 | Val Accuracy: 28.59%
Epoch 1, Batch 0/1833: Loss=2.5912
Epoch 1, Batch 150/1833: Loss=2.9145
Epoch 1, Batch 300/1833: Loss=2.6803
Epoch 1, Batch 450/1833: Loss=2.7356
Epoch 1, Batch 600/1833: Loss=2.4602
Epoch 1, Batch 750/1833: Loss=2.3420
Epoch 1, Batch 900/1833: Loss=2.7853
Epoch 1, Batch 1050/1833: Loss=2.6891
Epoch 1, Batch 1200/1833: Loss=2.4227
Epoch 1, Batch 1350/1833: Loss=2.6529
Epoch 1, Batch 1500/1833: Loss=2.6013
Epoch 1, Batch 1650/1833: Loss=2.5004
Epoch 1, Batch 1800/1833: Loss=2.2736
Epoch 1 | Train Loss: 2.5646 | Val Accuracy: 31.79%
Epoch 2, Batch 0/1833: Loss=2.4783
Epoch 2, Batch 150/1833: Loss=2.7576
Epoch 2, Batch 300/1833: Loss=2.5622
Epoch 2, Batch 450/1833: Loss=2.8139
Epoch 2, Batch 600/1833: Loss=2.5083
Epoch 2, Batch 750/1833: Loss=2.2016
Epoch 2, Batch 900/1833: Loss=2.3016
Epoch 2, Batch 1050/1833: Loss=2.2937
Epoch 2, Batch 1200/1833: Loss=2.5996
Epoch 2, Batch 1350/1833: Loss=2.0583
Epoch 2, Batch 1500/1833: Loss=2.2033
Epoch 2, Batch 1650/1833: Loss=1.9521
Epoch 2, Batch 1800/1833: Loss=2.5484
Epoch 2 | Train Loss: 2.3389 | Val Accuracy: 37.30%
Epoch 3, Batch 0/1833: Loss=2.6062
Epoch 3, Batch 150/1833: Loss=2.1070
Epoch 3, Batch 300/1833: Loss=2.1283
Epoch 3, Batch 450/1833: Loss=2.0818
Epoch 3, Batch 600/1833: Loss=1.9139
Epoch 3, Batch 750/1833: Loss=1.9529
Epoch 3, Batch 900/1833: Loss=2.0450
Epoch 3, Batch 1050/1833: Loss=2.4097
Epoch 3, Batch 1200/1833: Loss=2.2058
Epoch 3, Batch 1350/1833: Loss=2.0380
Epoch 3, Batch 1500/1833: Loss=2.2187
Epoch 3, Batch 1650/1833: Loss=2.1596
Epoch 3, Batch 1800/1833: Loss=2.4045
Epoch 3 | Train Loss: 2.1564 | Val Accuracy: 39.52%
Epoch 4, Batch 0/1833: Loss=2.3838
Epoch 4, Batch 150/1833: Loss=1.8946
Epoch 4, Batch 300/1833: Loss=1.8153
Epoch 4, Batch 450/1833: Loss=2.0750
Epoch 4, Batch 600/1833: Loss=2.1827
Epoch 4, Batch 750/1833: Loss=1.6532
Epoch 4, Batch 900/1833: Loss=2.1245
Epoch 4, Batch 1050/1833: Loss=2.0143
Epoch 4, Batch 1200/1833: Loss=1.8870
Epoch 4, Batch 1350/1833: Loss=2.1161
Epoch 4, Batch 1500/1833: Loss=2.1510
Epoch 4, Batch 1650/1833: Loss=1.9070
Epoch 4, Batch 1800/1833: Loss=1.9579
Epoch 4 | Train Loss: 1.9930 | Val Accuracy: 41.72%
Epoch 5, Batch 0/1833: Loss=1.9724
Epoch 5, Batch 150/1833: Loss=1.5703
Epoch 5, Batch 300/1833: Loss=1.8441
Epoch 5, Batch 450/1833: Loss=1.6120
Epoch 5, Batch 600/1833: Loss=1.7632
Epoch 5, Batch 750/1833: Loss=1.5910
Epoch 5, Batch 900/1833: Loss=1.7643
Epoch 5, Batch 1050/1833: Loss=2.0045
Epoch 5, Batch 1200/1833: Loss=1.5251
Epoch 5, Batch 1350/1833: Loss=1.6481
Epoch 5, Batch 1500/1833: Loss=1.8650
Epoch 5, Batch 1650/1833: Loss=1.5852
Epoch 5, Batch 1800/1833: Loss=1.7154
Epoch 5 | Train Loss: 1.8328 | Val Accuracy: 44.79%
Epoch 6, Batch 0/1833: Loss=1.5229
Epoch 6, Batch 150/1833: Loss=1.8087
Epoch 6, Batch 300/1833: Loss=1.7774
Epoch 6, Batch 450/1833: Loss=1.4918
Epoch 6, Batch 600/1833: Loss=1.7434
Epoch 6, Batch 750/1833: Loss=1.4709
Epoch 6, Batch 900/1833: Loss=1.6478
Epoch 6, Batch 1050/1833: Loss=1.8651
