NOTE! Installing ujson may make loading annotations faster.
Using device: cuda:0
Using math SDPA backend for higher-order gradient compatibility.
Loading COCO dataset...
Loading annotations into memory...
Done (t=8.81s)
Creating index...
index created!
Loading annotations into memory...
Done (t=0.37s)
Creating index...
index created!
Train samples: 117266, Val samples: 4952
Number of classes in mapping: 80

--- Baseline ViT-B/16 ---
Epoch 0, Batch 0/3665: Loss=4.4678
Epoch 0, Batch 150/3665: Loss=3.7084
Epoch 0, Batch 300/3665: Loss=3.5197
Epoch 0, Batch 450/3665: Loss=3.8487
Epoch 0, Batch 600/3665: Loss=3.9820
Epoch 0, Batch 750/3665: Loss=3.2953
Epoch 0, Batch 900/3665: Loss=4.2264
Epoch 0, Batch 1050/3665: Loss=3.9592
Epoch 0, Batch 1200/3665: Loss=3.4265
Epoch 0, Batch 1350/3665: Loss=3.8997
Epoch 0, Batch 1500/3665: Loss=3.5292
Epoch 0, Batch 1650/3665: Loss=3.8751
Epoch 0, Batch 1800/3665: Loss=3.7052
Epoch 0, Batch 1950/3665: Loss=3.5667
Epoch 0, Batch 2100/3665: Loss=3.8747
Epoch 0, Batch 2250/3665: Loss=3.4774
Epoch 0, Batch 2400/3665: Loss=3.2767
Epoch 0, Batch 2550/3665: Loss=3.2812
Epoch 0, Batch 2700/3665: Loss=3.8006
Epoch 0, Batch 2850/3665: Loss=3.8029
Epoch 0, Batch 3000/3665: Loss=3.6917
Epoch 0, Batch 3150/3665: Loss=3.5605
Epoch 0, Batch 3300/3665: Loss=3.1761
Epoch 0, Batch 3450/3665: Loss=3.6803
Epoch 0, Batch 3600/3665: Loss=3.8788
Epoch 0 | Train Loss: 3.6472 | Test Accuracy: 19.26%
Epoch 1, Batch 0/3665: Loss=3.7568
Epoch 1, Batch 150/3665: Loss=3.2957
Epoch 1, Batch 300/3665: Loss=3.1864
Epoch 1, Batch 450/3665: Loss=3.6520
Epoch 1, Batch 600/3665: Loss=3.8602
Epoch 1, Batch 750/3665: Loss=3.7247
Epoch 1, Batch 900/3665: Loss=3.6604
Epoch 1, Batch 1050/3665: Loss=3.9371
Epoch 1, Batch 1200/3665: Loss=3.5709
Epoch 1, Batch 1350/3665: Loss=3.6055
Epoch 1, Batch 1500/3665: Loss=3.5364
Epoch 1, Batch 1650/3665: Loss=4.0490
Epoch 1, Batch 1800/3665: Loss=3.6393
Epoch 1, Batch 1950/3665: Loss=3.6835
Epoch 1, Batch 2100/3665: Loss=3.4538
Epoch 1, Batch 2250/3665: Loss=3.6025
Epoch 1, Batch 2400/3665: Loss=3.5918
Epoch 1, Batch 2550/3665: Loss=3.7595
Epoch 1, Batch 2700/3665: Loss=3.8517
Epoch 1, Batch 2850/3665: Loss=3.6278
Epoch 1, Batch 3000/3665: Loss=3.5453
Epoch 1, Batch 3150/3665: Loss=3.2541
Epoch 1, Batch 3300/3665: Loss=3.8592
Epoch 1, Batch 3450/3665: Loss=3.6497
Epoch 1, Batch 3600/3665: Loss=3.6634
Epoch 1 | Train Loss: 3.6252 | Test Accuracy: 19.16%
Epoch 2, Batch 0/3665: Loss=3.5510
Epoch 2, Batch 150/3665: Loss=3.5131
Epoch 2, Batch 300/3665: Loss=3.8066
Epoch 2, Batch 450/3665: Loss=3.5344
Epoch 2, Batch 600/3665: Loss=3.6436
Epoch 2, Batch 750/3665: Loss=3.6849
Epoch 2, Batch 900/3665: Loss=3.5240
Epoch 2, Batch 1050/3665: Loss=3.4865
Epoch 2, Batch 1200/3665: Loss=3.4926
Epoch 2, Batch 1350/3665: Loss=3.4201
Epoch 2, Batch 1500/3665: Loss=3.5270
Epoch 2, Batch 1650/3665: Loss=3.4026
Epoch 2, Batch 1800/3665: Loss=3.6509
Epoch 2, Batch 1950/3665: Loss=3.3837
Epoch 2, Batch 2100/3665: Loss=3.6231
Epoch 2, Batch 2250/3665: Loss=3.4873
Epoch 2, Batch 2400/3665: Loss=3.6672
Epoch 2, Batch 2550/3665: Loss=3.9273
Epoch 2, Batch 2700/3665: Loss=3.7578
Epoch 2, Batch 2850/3665: Loss=3.5563
Epoch 2, Batch 3000/3665: Loss=3.7791
Epoch 2, Batch 3150/3665: Loss=3.6886
Epoch 2, Batch 3300/3665: Loss=2.8132
Epoch 2, Batch 3450/3665: Loss=3.3332
Epoch 2, Batch 3600/3665: Loss=3.6023
Epoch 2 | Train Loss: 3.5997 | Test Accuracy: 19.20%
Epoch 3, Batch 0/3665: Loss=3.7839
Epoch 3, Batch 150/3665: Loss=3.4834
Epoch 3, Batch 300/3665: Loss=3.5116
Epoch 3, Batch 450/3665: Loss=3.4394
Epoch 3, Batch 600/3665: Loss=3.3658
Epoch 3, Batch 750/3665: Loss=3.5060
Epoch 3, Batch 900/3665: Loss=3.6104
Epoch 3, Batch 1050/3665: Loss=3.5199
Epoch 3, Batch 1200/3665: Loss=3.8733
Epoch 3, Batch 1350/3665: Loss=4.0785
Epoch 3, Batch 1500/3665: Loss=3.4615
Epoch 3, Batch 1650/3665: Loss=4.0289
Epoch 3, Batch 1800/3665: Loss=3.8778
