Using device: cuda:1
Using math SDPA backend for higher-order gradient compatibility.
Loading MNIST dataset...
Train samples: 60000, Test samples: 10000

--- Baseline ViT-B/16 ---
Epoch 0, Batch 0/1875: Loss=2.3901
Epoch 0, Batch 150/1875: Loss=2.3357
Epoch 0, Batch 300/1875: Loss=2.2612
Epoch 0, Batch 450/1875: Loss=2.3510
Epoch 0, Batch 600/1875: Loss=2.0069
Epoch 0, Batch 750/1875: Loss=1.9673
Epoch 0, Batch 900/1875: Loss=1.8492
Epoch 0, Batch 1050/1875: Loss=2.0807
Epoch 0, Batch 1200/1875: Loss=2.1111
Epoch 0, Batch 1350/1875: Loss=1.9990
Epoch 0, Batch 1500/1875: Loss=2.1604
Epoch 0, Batch 1650/1875: Loss=2.0206
Epoch 0, Batch 1800/1875: Loss=2.0949
Epoch 0 | Train Loss: 2.1662 | Test Accuracy: 19.05%
Epoch 1, Batch 0/1875: Loss=2.4269
Epoch 1, Batch 150/1875: Loss=2.0533
Epoch 1, Batch 300/1875: Loss=2.0569
Epoch 1, Batch 450/1875: Loss=2.4521
Epoch 1, Batch 600/1875: Loss=2.1578
Epoch 1, Batch 750/1875: Loss=2.1072
Epoch 1, Batch 900/1875: Loss=2.1540
Epoch 1, Batch 1050/1875: Loss=2.3177
Epoch 1, Batch 1200/1875: Loss=2.0782
Epoch 1, Batch 1350/1875: Loss=2.0156
Epoch 1, Batch 1500/1875: Loss=1.9195
Epoch 1, Batch 1650/1875: Loss=2.2414
Epoch 1, Batch 1800/1875: Loss=1.9532
Epoch 1 | Train Loss: 2.0790 | Test Accuracy: 23.63%
Epoch 2, Batch 0/1875: Loss=1.9919
Epoch 2, Batch 150/1875: Loss=1.6941
Epoch 2, Batch 300/1875: Loss=1.9889
Epoch 2, Batch 450/1875: Loss=2.2897
Epoch 2, Batch 600/1875: Loss=2.2304
Epoch 2, Batch 750/1875: Loss=1.9703
Epoch 2, Batch 900/1875: Loss=1.9831
Epoch 2, Batch 1050/1875: Loss=2.2565
Epoch 2, Batch 1200/1875: Loss=2.1276
Epoch 2, Batch 1350/1875: Loss=2.0775
Epoch 2, Batch 1500/1875: Loss=2.0176
Epoch 2, Batch 1650/1875: Loss=2.1013
Epoch 2, Batch 1800/1875: Loss=2.0320
Epoch 2 | Train Loss: 1.9662 | Test Accuracy: 18.93%
Epoch 3, Batch 0/1875: Loss=2.2999
Epoch 3, Batch 150/1875: Loss=2.2648
Epoch 3, Batch 300/1875: Loss=2.0140
Epoch 3, Batch 450/1875: Loss=1.9667
Epoch 3, Batch 600/1875: Loss=2.0381
Epoch 3, Batch 750/1875: Loss=2.0060
Epoch 3, Batch 900/1875: Loss=1.9077
Epoch 3, Batch 1050/1875: Loss=1.9311
Epoch 3, Batch 1200/1875: Loss=1.6908
Epoch 3, Batch 1350/1875: Loss=2.0527
Epoch 3, Batch 1500/1875: Loss=3.0222
Epoch 3, Batch 1650/1875: Loss=2.1236
Epoch 3, Batch 1800/1875: Loss=2.0649
Epoch 3 | Train Loss: 2.0652 | Test Accuracy: 21.09%
Epoch 4, Batch 0/1875: Loss=2.0223
Epoch 4, Batch 150/1875: Loss=2.2268
Epoch 4, Batch 300/1875: Loss=2.0364
Epoch 4, Batch 450/1875: Loss=2.1962
Epoch 4, Batch 600/1875: Loss=2.1012
Epoch 4, Batch 750/1875: Loss=1.9611
Epoch 4, Batch 900/1875: Loss=1.8085
Epoch 4, Batch 1050/1875: Loss=2.1049
Epoch 4, Batch 1200/1875: Loss=1.8792
Epoch 4, Batch 1350/1875: Loss=2.1756
Epoch 4, Batch 1500/1875: Loss=2.0127
Epoch 4, Batch 1650/1875: Loss=1.9689
Epoch 4, Batch 1800/1875: Loss=2.2575
Epoch 4 | Train Loss: 2.0265 | Test Accuracy: 18.96%
Epoch 5, Batch 0/1875: Loss=2.1928
Epoch 5, Batch 150/1875: Loss=2.2039
Epoch 5, Batch 300/1875: Loss=2.1457
Epoch 5, Batch 450/1875: Loss=2.3395
Epoch 5, Batch 600/1875: Loss=2.1483
Epoch 5, Batch 750/1875: Loss=2.1909
Epoch 5, Batch 900/1875: Loss=2.0859
Epoch 5, Batch 1050/1875: Loss=2.2013
Epoch 5, Batch 1200/1875: Loss=2.1293
Epoch 5, Batch 1350/1875: Loss=2.3526
Epoch 5, Batch 1500/1875: Loss=1.8967
Epoch 5, Batch 1650/1875: Loss=1.9618
Epoch 5, Batch 1800/1875: Loss=2.2660
Epoch 5 | Train Loss: 2.0844 | Test Accuracy: 23.48%
Epoch 6, Batch 0/1875: Loss=1.7975
Epoch 6, Batch 150/1875: Loss=1.8594
Epoch 6, Batch 300/1875: Loss=1.9407
Epoch 6, Batch 450/1875: Loss=2.0509
Epoch 6, Batch 600/1875: Loss=1.9784
Epoch 6, Batch 750/1875: Loss=1.9518
Epoch 6, Batch 900/1875: Loss=2.0266
Epoch 6, Batch 1050/1875: Loss=1.9850
Epoch 6, Batch 1200/1875: Loss=1.9017
Epoch 6, Batch 1350/1875: Loss=1.8708
Epoch 6, Batch 1500/1875: Loss=2.0215
Epoch 6, Batch 1650/1875: Loss=2.0047
Epoch 6, Batch 1800/1875: Loss=1.9255
Epoch 6 | Train Loss: 2.0220 | Test Accuracy: 19.15%
Epoch 7, Batch 0/1875: Loss=2.0703
Epoch 7, Batch 150/1875: Loss=2.3174
Epoch 7, Batch 300/1875: Loss=2.1281
Epoch 7, Batch 450/1875: Loss=2.3610
Epoch 7, Batch 600/1875: Loss=2.0168
Epoch 7, Batch 750/1875: Loss=2.4875
Epoch 7, Batch 900/1875: Loss=2.0973
Epoch 7, Batch 1050/1875: Loss=2.1197
Epoch 7, Batch 1200/1875: Loss=2.0243
Epoch 7, Batch 1350/1875: Loss=2.0970
Epoch 7, Batch 1500/1875: Loss=1.9868
Epoch 7, Batch 1650/1875: Loss=1.9332
Epoch 7, Batch 1800/1875: Loss=1.9349
Epoch 7 | Train Loss: 2.0462 | Test Accuracy: 25.26%
Epoch 8, Batch 0/1875: Loss=1.7458
Epoch 8, Batch 150/1875: Loss=1.8445
Epoch 8, Batch 300/1875: Loss=1.8385
Epoch 8, Batch 450/1875: Loss=1.9863
Epoch 8, Batch 600/1875: Loss=1.7303
Epoch 8, Batch 750/1875: Loss=1.8754
Epoch 8, Batch 900/1875: Loss=1.9510
Epoch 8, Batch 1050/1875: Loss=2.3200
Epoch 8, Batch 1200/1875: Loss=2.0312
Epoch 8, Batch 1350/1875: Loss=1.9534
Epoch 8, Batch 1500/1875: Loss=1.8955
Epoch 8, Batch 1650/1875: Loss=1.8974
Epoch 8, Batch 1800/1875: Loss=2.1003
